index,record_id,month,day,year,site_id,species_id,sex,hindfoot_length,weight
106,31832,3,4,2001,9,DM,F,36,58
107,31833,3,4,2001,9,DM,M,36,50
108,31834,3,4,2001,9,DM,M,37,51
109,31835,3,4,2001,9,PP,M,23,14
110,31836,3,4,2001,9,DM,M,37,50
111,31837,3,4,2001,9,DM,M,38,54
112,31838,3,4,2001,9,DM,F,36,45
113,31840,3,4,2001,8,DM,M,37,52
114,31842,3,4,2001,13,PB,F,25,44
115,31843,3,4,2001,13,PB,F,26,39
116,31844,3,4,2001,14,DM,M,37,53
117,31845,3,4,2001,14,DM,M,38,49
118,31846,3,4,2001,14,DM,F,35,44
119,31847,3,4,2001,14,DM,F,35,44
120,31848,3,4,2001,15,PP,M,22,14
121,31849,3,4,2001,15,OT,F,20,24
122,31854,3,24,2001,1,PB,F,26,29
123,31855,3,24,2001,1,DM,F,35,47
124,31856,3,24,2001,1,PP,F,22,16
125,31857,3,24,2001,2,PB,M,26,40
126,31858,3,24,2001,2,DM,M,37,53
127,31859,3,24,2001,2,DM,F,36,60
128,31860,3,24,2001,2,DM,M,37,47
129,31861,3,24,2001,2,DM,M,37,48
130,31862,3,24,2001,2,NL,F,32,252
131,31863,3,24,2001,12,PP,M,22,20
132,31864,3,24,2001,12,OT,M,20,24
133,31865,3,24,2001,12,DM,F,37,58
134,31867,3,24,2001,12,NL,F,32,207
135,31869,3,24,2001,19,PB,M,26,46
136,31870,3,24,2001,18,RM,F,17,15
137,31871,3,24,2001,17,DM,F,37,55
138,31872,3,24,2001,17,OT,F,22,26
139,31874,3,24,2001,17,DM,F,37,48
140,31875,3,24,2001,17,DM,M,38,48
141,31876,3,24,2001,17,PP,M,16,13
142,31877,3,24,2001,17,DM,M,38,45
143,31878,3,24,2001,17,DM,F,38,56
144,31879,3,24,2001,17,DM,F,35,45
145,31881,3,24,2001,22,PB,F,27,40
146,31882,3,24,2001,21,PB,M,27,34
147,31883,3,24,2001,21,PB,F,25,36
148,31884,3,24,2001,21,PB,F,28,48
149,31885,3,24,2001,21,PB,F,26,37
150,31886,3,24,2001,20,PP,M,22,21
151,31888,3,25,2001,3,PB,M,26,34
152,31889,3,25,2001,3,PB,F,27,36
153,31890,3,25,2001,3,PB,M,27,44
154,31891,3,25,2001,4,PF,M,17,8
155,31892,3,25,2001,4,OT,F,21,29
156,31893,3,25,2001,4,PB,M,27,49
157,31894,3,25,2001,4,DM,M,38,51
158,31895,3,25,2001,4,PB,M,26,42
159,31896,3,25,2001,4,OT,F,21,30
160,31897,3,25,2001,11,PB,M,27,37
161,31898,3,25,2001,11,DM,F,36,51
162,31899,3,25,2001,11,DM,M,37,53
163,31900,3,25,2001,9,OT,M,21,29
164,31902,3,25,2001,9,DM,F,37,47
165,31903,3,25,2001,9,DM,M,37,51
166,31904,3,25,2001,9,DM,M,36,52
167,31905,3,25,2001,9,DM,M,36,51
168,31906,3,25,2001,8,OT,F,22,32
169,31907,3,25,2001,8,PP,M,22,15
170,31908,3,25,2001,8,PP,M,22,21
171,31909,3,25,2001,8,PP,M,22,21
172,31910,3,25,2001,8,PP,M,20,16
173,31911,3,25,2001,8,PM,F,20,22
174,31912,3,25,2001,8,PP,F,22,16
175,31913,3,25,2001,8,PP,M,22,20
176,31914,3,25,2001,13,PB,F,25,39
177,31915,3,25,2001,13,PB,M,26,44
178,31916,3,25,2001,13,PP,M,22,13
179,31917,3,25,2001,13,PP,M,21,16
180,31918,3,25,2001,14,DM,M,38,50
181,31919,3,25,2001,14,DM,M,36,48
182,31921,3,25,2001,14,PP,M,22,21
183,31922,3,25,2001,14,DM,F,35,54
184,31923,3,25,2001,14,PP,M,23,22
185,31924,3,25,2001,14,DM,M,35,54
186,31925,3,25,2001,14,PP,M,22,20
187,31926,3,25,2001,14,PP,F,23,16
188,31927,3,25,2001,14,DM,F,35,59
189,31928,3,25,2001,15,PP,M,23,19
190,31929,3,25,2001,15,PP,F,22,13
191,31930,3,25,2001,15,OT,F,20,42
192,31936,4,21,2001,1,PP,F,22,26
193,31937,4,21,2001,1,PB,F,25,30
194,31938,4,21,2001,1,PP,M,21,19
195,31939,4,21,2001,1,DM,M,36,49
196,31941,4,21,2001,1,PB,M,25,24
197,31942,4,21,2001,1,PP,M,22,22
198,31943,4,21,2001,1,DO,F,37,68
199,31944,4,21,2001,2,PP,F,22,21
200,31945,4,21,2001,2,DM,F,35,47
201,31946,4,21,2001,2,NL,F,33,145
202,31947,4,21,2001,2,PP,M,22,24
203,31948,4,21,2001,2,DM,M,37,52
204,31949,4,21,2001,12,PP,M,22,21
205,31950,4,21,2001,12,DO,M,34,54
206,31951,4,21,2001,12,PP,F,22,24
207,31952,4,21,2001,12,DO,F,34,60
208,31953,4,21,2001,12,PP,F,21,23
209,31954,4,21,2001,12,DM,F,37,57
210,31956,4,21,2001,24,DO,F,36,76
211,31957,4,21,2001,24,PP,F,21,16
212,31958,4,21,2001,24,PE,F,20,22
213,31959,4,21,2001,19,PB,M,27,50
214,31960,4,21,2001,18,PB,M,27,50
215,31961,4,21,2001,18,PB,F,25,17
216,31962,4,21,2001,17,DM,F,37,50
217,31963,4,21,2001,17,PP,M,22,18
218,31964,4,21,2001,17,PP,F,22,20
219,31965,4,21,2001,17,DM,M,36,49
220,31966,4,21,2001,17,DM,M,36,49
221,31968,4,21,2001,17,DM,M,36,37
222,31969,4,21,2001,17,OT,M,21,28
223,31970,4,21,2001,17,DM,F,36,50
224,31971,4,21,2001,17,DM,M,35,50
225,31972,4,21,2001,17,DM,M,37,50
226,31973,4,21,2001,20,PB,M,26,39
227,31974,4,21,2001,20,PB,F,25,37
228,31976,4,21,2001,20,PB,M,26,38
229,31977,4,21,2001,20,NL,F,33,218
230,31978,4,21,2001,21,PB,M,27,35
231,31979,4,21,2001,21,PB,F,25,54
232,31980,4,21,2001,21,PB,M,26,34
233,31981,4,21,2001,21,PB,M,26,37
234,31982,4,21,2001,21,PB,F,27,37
235,31983,4,21,2001,21,PB,F,27,35
236,31984,4,21,2001,22,PF,F,15,7
237,31985,4,21,2001,22,PB,F,26,33
238,31986,4,21,2001,22,PB,F,27,35
239,31987,4,21,2001,22,DM,M,37,53
240,31988,4,21,2001,7,OT,F,21,27
241,31991,4,22,2001,3,PB,F,27,40
242,31992,4,22,2001,3,PB,M,24,34
243,31993,4,22,2001,4,OT,F,20,32
244,31994,4,22,2001,4,DM,M,37,53
245,31995,4,22,2001,4,DM,F,36,55
246,31996,4,22,2001,6,PB,M,25,39
247,31997,4,22,2001,6,PP,M,21,23
248,31998,4,22,2001,6,PB,M,26,46
249,31999,4,22,2001,6,PP,F,21,20
250,32000,4,22,2001,6,PP,M,22,22
251,32001,4,22,2001,6,PB,F,26,49
252,32002,4,22,2001,6,SH,F,29,132
253,32003,4,22,2001,11,DM,F,35,49
254,32004,4,22,2001,11,OT,F,20,26
255,32005,4,22,2001,11,DM,F,36,49
256,32006,4,22,2001,11,OT,F,20,14
257,32007,4,22,2001,9,PP,M,22,18
258,32010,4,22,2001,9,PP,M,22,17
259,32011,4,22,2001,9,DM,M,37,52
260,32012,4,22,2001,9,PP,M,23,21
261,32013,4,22,2001,9,DM,F,37,47
262,32014,4,22,2001,9,DM,F,37,53
263,32015,4,22,2001,8,DO,M,34,59
264,32016,4,22,2001,8,DO,F,36,59
265,32017,4,22,2001,8,PP,F,22,19
266,32018,4,22,2001,14,DM,M,36,53
267,32019,4,22,2001,14,DM,M,37,49
268,32020,4,22,2001,14,PF,F,15,7
269,32021,4,22,2001,14,DM,M,36,56
270,32022,4,22,2001,14,DM,F,34,46
271,32023,4,22,2001,14,DO,F,35,52
272,32024,4,22,2001,14,PM,F,20,31
273,32025,4,22,2001,14,DM,F,35,55
274,32026,4,22,2001,15,OT,M,21,29
275,32027,4,22,2001,15,PP,M,22,20
276,32028,4,22,2001,15,PP,M,21,18
277,32029,4,22,2001,15,PF,F,16,9
278,32030,4,22,2001,15,PP,M,22,23
279,32031,4,22,2001,15,PP,M,22,22
280,32032,4,22,2001,16,PP,F,21,21
281,32035,5,26,2001,1,PP,F,22,21
282,32036,5,26,2001,1,PP,F,23,29
283,32037,5,26,2001,1,NL,M,31,94
284,32038,5,26,2001,1,DO,M,34,55
285,32039,5,26,2001,1,PB,M,27,31
286,32040,5,26,2001,1,DM,M,36,48
287,32041,5,26,2001,1,PP,M,21,20
288,32042,5,26,2001,1,DO,F,37,68
289,32044,5,26,2001,2,SH,M,30,79
290,32045,5,26,2001,2,NL,M,32,135
291,32046,5,26,2001,12,PP,M,22,17
292,32047,5,26,2001,12,DO,M,34,49
293,32048,5,26,2001,12,DO,F,34,27
294,32049,5,26,2001,12,DM,M,36,48
295,32050,5,26,2001,12,PE,M,21,20
296,32051,5,26,2001,12,NL,F,30,204
297,32052,5,26,2001,19,PB,F,26,27
298,32053,5,26,2001,19,PB,M,27,36
299,32054,5,26,2001,22,PB,M,27,30
300,32055,5,26,2001,22,PB,F,26,33
301,32057,5,26,2001,22,PB,M,27,40
302,32058,5,26,2001,22,PB,F,27,31
303,32060,5,26,2001,18,PE,M,20,23
304,32061,5,26,2001,18,PB,F,27,31
305,32062,5,26,2001,17,PB,M,27,29
306,32063,5,26,2001,17,DM,M,36,52
307,32064,5,26,2001,17,DM,M,36,48
308,32066,5,26,2001,17,DM,M,37,46
309,32067,5,26,2001,17,DM,F,36,41
310,32068,5,26,2001,17,DM,M,35,47
311,32069,5,26,2001,17,PP,F,22,19
312,32070,5,26,2001,17,DM,F,37,47
313,32071,5,26,2001,17,DM,M,37,49
314,32072,5,26,2001,17,NL,M,32,127
315,32073,5,26,2001,21,PB,F,26,44
316,32074,5,26,2001,21,PB,M,28,31
317,32075,5,26,2001,21,PB,F,26,39
318,32076,5,26,2001,20,PB,F,27,35
319,32077,5,26,2001,20,NL,M,31,115
320,32078,5,26,2001,20,PB,M,26,25
321,32079,5,26,2001,20,PB,F,27,32
322,32080,5,26,2001,20,NL,F,32,205
323,32082,5,26,2001,20,NL,F,33,200
324,32083,5,26,2001,24,NL,F,29,146
325,32084,5,26,2001,24,DO,M,27,51
326,32085,5,26,2001,7,PB,F,22,37
327,32088,5,27,2001,3,OT,F,21,25
328,32089,5,27,2001,3,OT,F,21,35
329,32090,5,27,2001,3,PB,M,28,30
330,32092,5,27,2001,4,PF,M,16,8
331,32093,5,27,2001,4,DM,F,37,51
332,32094,5,27,2001,4,DM,M,37,52
333,32095,5,27,2001,4,DM,F,36,36
334,32096,5,27,2001,4,DM,F,35,49
335,32097,5,27,2001,4,PB,M,26,39
336,32098,5,27,2001,4,PP,M,22,18
337,32099,5,27,2001,6,SH,F,30,86
338,32100,5,27,2001,6,PB,F,26,33
339,32101,5,27,2001,6,SH,F,29,123
340,32102,5,27,2001,6,PB,M,26,18
341,32103,5,27,2001,6,PB,M,26,40
342,32104,5,27,2001,6,OT,F,20,34
343,32105,5,27,2001,6,PB,F,26,44
344,32106,5,27,2001,6,OT,F,20,14
345,32107,5,27,2001,11,DM,M,37,55
346,32109,5,27,2001,11,DM,F,34,48
347,32110,5,27,2001,11,PP,M,23,13
348,32111,5,27,2001,11,DM,M,38,50
349,32112,5,27,2001,11,DM,F,36,48
350,32113,5,27,2001,9,PP,M,21,16
351,32114,5,27,2001,9,DM,F,36,52
352,32115,5,27,2001,9,PP,F,23,18
353,32116,5,27,2001,9,DM,M,36,50
354,32117,5,27,2001,9,DM,M,36,50
355,32118,5,27,2001,9,DM,F,35,40
356,32119,5,27,2001,9,DM,M,35,49
357,32120,5,27,2001,8,PB,F,25,34
358,32121,5,27,2001,8,PB,M,27,40
359,32122,5,27,2001,8,PP,F,23,20
360,32123,5,27,2001,8,DO,F,36,59
361,32124,5,27,2001,8,PB,M,27,34
362,32125,5,27,2001,8,OT,F,21,32
363,32126,5,27,2001,8,OT,M,20,31
364,32127,5,27,2001,8,PP,M,22,17
365,32128,5,27,2001,8,PP,F,21,21
366,32129,5,27,2001,13,PB,M,27,26
367,32130,5,27,2001,13,PB,M,27,29
368,32131,5,27,2001,14,DM,M,35,25
369,32132,5,27,2001,14,DO,M,35,56
370,32134,5,27,2001,14,DM,F,36,58
371,32135,5,27,2001,14,DM,F,35,47
372,32136,5,27,2001,14,DM,F,35,50
373,32137,5,27,2001,14,PP,M,21,19
374,32138,5,27,2001,14,DM,F,36,36
375,32139,5,27,2001,14,DM,M,35,55
376,32140,5,27,2001,14,DM,M,37,46
377,32141,5,27,2001,14,DM,F,34,41
378,32142,5,27,2001,14,PP,M,23,13
379,32143,5,27,2001,14,NL,M,30,80
380,32144,5,27,2001,15,PB,M,26,40
381,32145,5,27,2001,15,PP,F,21,19
382,32147,5,27,2001,15,PP,F,22,21
383,32148,5,27,2001,15,PF,F,16,8
384,32149,5,27,2001,5,PE,M,20,19
385,32152,6,25,2001,1,PB,M,26,38
386,32153,6,25,2001,1,PB,F,26,29
387,32154,6,25,2001,1,DO,F,36,54
388,32155,6,25,2001,1,PP,M,22,12
389,32156,6,25,2001,1,PP,M,22,20
390,32157,6,25,2001,1,PP,F,22,21
391,32158,6,25,2001,1,DO,M,35,26
392,32159,6,25,2001,1,PP,F,22,25
393,32160,6,25,2001,1,PB,M,26,39
394,32161,6,25,2001,1,NL,F,28,159
395,32162,6,25,2001,2,PP,M,22,22
396,32163,6,25,2001,2,PP,M,23,16
397,32164,6,25,2001,2,PP,M,22,17
398,32166,6,25,2001,2,PB,M,27,36
399,32167,6,25,2001,2,NL,F,30,173
400,32169,6,25,2001,12,PP,M,22,24
401,32170,6,25,2001,12,DM,F,36,30
402,32171,6,25,2001,12,DO,M,36,43
403,32172,6,25,2001,12,PP,F,22,19
404,32173,6,25,2001,12,DO,F,35,53
405,32174,6,25,2001,12,DM,M,36,48
406,32176,6,25,2001,12,DM,F,34,33
407,32177,6,25,2001,12,PP,F,22,19
408,32178,6,25,2001,12,PP,F,22,15
409,32179,6,25,2001,12,NL,F,31,221
410,32180,6,25,2001,19,PB,M,27,40
411,32181,6,25,2001,18,PB,F,27,22
412,32182,6,25,2001,18,PB,M,28,42
413,32183,6,25,2001,18,PB,F,22,42
414,32184,6,25,2001,18,PF,F,15,7
415,32185,6,25,2001,18,PB,M,26,34
416,32186,6,25,2001,18,PB,F,25,18
417,32188,6,25,2001,17,PP,F,23,18
418,32189,6,25,2001,17,DM,M,36,29
419,32190,6,25,2001,17,PP,F,21,10
420,32191,6,25,2001,17,DM,F,36,51
421,32192,6,25,2001,17,DM,M,35,47
422,32193,6,25,2001,17,DM,M,37,40
423,32194,6,25,2001,17,PB,M,27,37
424,32195,6,25,2001,17,DM,M,37,46
425,32196,6,25,2001,17,DM,F,35,43
426,32197,6,25,2001,17,DM,M,37,50
427,32198,6,25,2001,17,DM,M,37,50
428,32199,6,25,2001,17,DM,M,37,30
429,32200,6,25,2001,17,DM,F,37,46
430,32201,6,25,2001,22,PB,M,27,26
431,32202,6,25,2001,22,PB,M,28,41
432,32204,6,25,2001,22,PB,F,26,33
433,32205,6,25,2001,22,PB,M,27,32
434,32206,6,25,2001,22,DM,M,38,56
435,32207,6,25,2001,22,PP,F,22,17
436,32208,6,25,2001,21,PB,F,26,39
437,32209,6,25,2001,21,PB,M,27,24
438,32211,6,25,2001,21,PB,M,27,34
439,32212,6,25,2001,21,PB,F,26,26
440,32213,6,25,2001,21,PB,F,26,41
441,32214,6,25,2001,21,PB,M,26,19
442,32215,6,25,2001,20,PB,M,26,20
443,32216,6,25,2001,20,PB,F,27,37
444,32217,6,25,2001,20,PB,M,27,29
445,32218,6,25,2001,20,PF,F,16,8
446,32219,6,25,2001,20,PP,M,22,16
447,32220,6,25,2001,20,PB,M,26,19
448,32221,6,25,2001,20,PB,F,26,17
449,32222,6,25,2001,20,PE,M,20,12
450,32223,6,25,2001,20,PP,F,22,20
451,32224,6,25,2001,20,NL,F,35,168
452,32225,6,25,2001,23,PF,M,16,7
453,32228,6,25,2001,24,PE,M,19,17
454,32229,6,25,2001,24,PP,F,22,18
455,32254,7,22,2001,3,PB,M,28,37
456,32255,7,22,2001,3,PB,M,26,32
457,32256,7,22,2001,3,PP,F,22,17
458,32257,7,22,2001,3,PB,M,26,20
459,32258,7,22,2001,3,PB,F,26,21
460,32259,7,22,2001,3,PB,M,27,37
461,32260,7,22,2001,3,PB,M,26,39
462,32261,7,22,2001,3,PB,M,26,33
463,32262,7,22,2001,3,PB,F,27,27
464,32263,7,22,2001,3,OT,M,21,31
465,32264,7,22,2001,3,PP,M,22,13
466,32265,7,22,2001,3,PB,F,26,30
467,32266,7,22,2001,3,PP,F,22,15
468,32267,7,22,2001,4,DM,F,35,49
469,32268,7,22,2001,4,PF,F,15,9
470,32269,7,22,2001,4,PB,M,28,29
471,32270,7,22,2001,4,PB,M,26,22
472,32271,7,22,2001,4,PP,F,23,17
473,32272,7,22,2001,4,PP,F,22,19
474,32273,7,22,2001,4,PP,M,23,18
475,32274,7,22,2001,4,PP,F,23,18
476,32275,7,22,2001,4,PF,F,16,9
477,32276,7,22,2001,6,PB,F,25,34
478,32277,7,22,2001,6,PB,F,26,25
479,32278,7,22,2001,6,PP,F,22,16
480,32279,7,22,2001,6,PB,F,26,29
481,32280,7,22,2001,6,PP,M,22,15
482,32281,7,22,2001,6,PB,M,26,31
483,32282,7,22,2001,6,PP,F,22,21
484,32283,7,22,2001,6,SH,M,24,28
485,32284,7,22,2001,6,PB,F,25,24
486,32285,7,22,2001,6,PB,F,26,19
487,32286,7,22,2001,6,PB,F,26,29
488,32287,7,22,2001,6,PP,F,23,17
489,32288,7,22,2001,6,PP,F,21,17
490,32289,7,22,2001,11,PB,M,27,26
491,32290,7,22,2001,11,PP,F,22,25
492,32292,7,22,2001,11,DM,F,34,47
493,32293,7,22,2001,11,DM,M,37,42
494,32294,7,22,2001,11,PP,F,23,18
495,32295,7,22,2001,11,DM,F,35,59
496,32296,7,22,2001,11,PP,M,23,17
497,32297,7,22,2001,11,OT,M,21,27
498,32298,7,22,2001,9,DM,M,37,49
499,32299,7,22,2001,9,DM,F,36,48
500,32301,7,22,2001,9,PP,F,22,11
501,32302,7,22,2001,9,DM,F,36,43
502,32304,7,22,2001,9,DM,F,33,25
503,32305,7,22,2001,9,DM,F,35,42
504,32306,7,22,2001,9,DM,F,34,25
505,32307,7,22,2001,8,PP,F,22,21
506,32308,7,22,2001,8,PP,F,22,19
507,32310,7,22,2001,8,PB,F,26,27
508,32311,7,22,2001,8,PP,M,22,16
509,32312,7,22,2001,8,DO,M,36,53
510,32313,7,22,2001,8,PB,M,28,22
511,32314,7,22,2001,8,PP,M,22,13
512,32315,7,22,2001,8,PP,M,21,9
513,32316,7,22,2001,8,PP,F,23,17
514,32317,7,22,2001,8,DO,M,36,46
515,32318,7,22,2001,8,PB,F,25,21
516,32319,7,22,2001,8,DO,F,36,61
517,32322,7,22,2001,8,PP,F,22,15
518,32323,7,22,2001,8,PB,F,27,23
519,32324,7,22,2001,8,PB,F,25,33
520,32325,7,22,2001,8,OT,F,22,27
521,32326,7,22,2001,13,PB,F,26,27
522,32327,7,22,2001,13,PB,M,27,39
523,32329,7,22,2001,13,PB,M,26,43
524,32330,7,22,2001,13,PP,F,22,20
525,32331,7,22,2001,13,PB,M,27,33
526,32332,7,22,2001,13,PB,M,28,43
527,32333,7,22,2001,13,PP,M,22,13
528,32334,7,22,2001,14,DM,F,35,25
529,32335,7,22,2001,14,DM,F,35,47
530,32336,7,22,2001,14,DM,M,37,47
531,32337,7,22,2001,14,DM,F,35,54
532,32338,7,22,2001,14,DO,M,38,45
533,32341,7,22,2001,14,PP,M,22,18
534,32342,7,22,2001,14,DM,F,36,48
535,32343,7,22,2001,14,PP,M,22,16
536,32344,7,22,2001,14,PP,M,23,13
537,32345,7,22,2001,14,PB,M,24,14
538,32346,7,22,2001,14,OT,F,20,35
539,32347,7,22,2001,15,PP,F,21,20
540,32348,7,22,2001,15,PB,M,26,29
541,32349,7,22,2001,15,PP,M,22,17
542,32350,7,22,2001,15,PP,F,23,20
543,32351,7,22,2001,15,PP,M,22,17
544,32352,7,22,2001,15,PB,F,27,30
545,32353,7,22,2001,15,PP,F,21,21
546,32354,7,22,2001,15,PP,F,22,21
547,32356,7,22,2001,15,NL,F,26,146
548,32357,7,22,2001,15,PP,F,22,16
549,32358,7,22,2001,16,PP,M,23,16
550,32359,7,22,2001,16,PP,M,23,18
551,32360,7,22,2001,16,PE,M,20,18
552,32363,8,25,2001,1,PP,M,22,16
553,32364,8,25,2001,1,PB,F,26,40
554,32365,8,25,2001,1,PP,F,22,20
555,32366,8,25,2001,1,PB,M,27,42
556,32367,8,25,2001,1,PB,M,26,33
557,32368,8,25,2001,1,DO,F,36,50
558,32369,8,25,2001,1,PB,F,26,34
559,32370,8,25,2001,1,PB,M,26,20
560,32371,8,25,2001,1,PP,M,23,16
561,32372,8,25,2001,1,PP,M,22,14
562,32373,8,25,2001,1,DM,M,33,39
563,32374,8,25,2001,1,DO,F,36,54
564,32375,8,25,2001,1,PP,M,23,17
565,32376,8,25,2001,1,DO,M,37,57
566,32378,8,25,2001,2,PP,M,23,19
567,32379,8,25,2001,2,PP,F,22,17
568,32380,8,25,2001,2,DM,F,36,49
569,32382,8,25,2001,2,PB,F,26,32
570,32383,8,25,2001,2,OT,M,20,25
571,32384,8,25,2001,2,OT,M,21,23
572,32385,8,25,2001,2,OT,F,21,31
573,32386,8,25,2001,2,DM,M,36,46
574,32387,8,25,2001,2,PP,M,22,18
575,32389,8,25,2001,2,OT,M,21,26
576,32390,8,25,2001,2,OT,F,21,23
577,32391,8,25,2001,2,NL,F,33,193
578,32392,8,25,2001,12,OT,M,20,25
579,32393,8,25,2001,12,PP,F,23,19
580,32394,8,25,2001,12,DM,F,35,50
581,32395,8,25,2001,12,PP,M,23,25
582,32396,8,25,2001,12,DO,M,36,58
583,32397,8,25,2001,12,PP,F,23,19
584,32398,8,25,2001,12,PP,F,23,41
585,32399,8,25,2001,12,DM,M,36,47
586,32400,8,25,2001,12,OT,M,21,20
587,32401,8,25,2001,12,DO,M,37,57
588,32402,8,25,2001,12,PP,F,22,16
589,32403,8,25,2001,12,PP,M,21,17
590,32404,8,25,2001,24,NL,M,33,195
591,32405,8,25,2001,24,NL,M,34,171
592,32408,8,25,2001,19,PB,F,26,31
593,32409,8,25,2001,19,PP,M,23,20
594,32410,8,25,2001,19,PP,M,23,19
595,32411,8,25,2001,19,PB,F,26,28
596,32412,8,25,2001,19,PP,F,23,17
597,32413,8,25,2001,19,PF,F,15,9
598,32414,8,25,2001,19,PB,F,26,30
599,32415,8,25,2001,18,PB,F,26,26
600,32416,8,25,2001,18,PB,F,25,30
601,32417,8,25,2001,18,PB,M,28,44
602,32418,8,25,2001,18,PB,F,26,30
603,32419,8,25,2001,18,PF,F,16,11
604,32420,8,25,2001,17,PP,M,21,16
