Array,X,Y,CameraID,Date01,Date02,Date03,Date04,Date05,Date06,Date02_1,Date03_1,Date04_1,Date05_1,Date06_1,arable,bog,bwoodland,coast,cwoodland,edge,elevation,freshwater,gorse,grassland,heather,igrassland,montane,mwoodland,nearprimar,nearsecond,primarylen,rain,riverlengt,roads,rock,ruggedness,secondleng,sgrassland,slope,snow,temperatur,urban,woodland
Achlibster,311855,949296,ACH-019,0,0,0,0,0,0,1078,1085,1092,1099,1106,0,0.725033,0,19.9107,0.274967,0,107.105,0.574235,0,0,0,0,0,0,2.74367,0.065,0,96.9145,0,0,0.418492,73.0128,0.564808,0,2.5456,4.45833,8.07222,2.39832,0
Achlibster,312259,948385,ACH-020,NA,0,0,0,0,0,1079,1086,1093,1100,1107,0,0.894786,0,19.2036,0,0,96.7965,0.045,0,0.105214,0,0.105214,0,0,3.06,0.482635,0,96.9145,0.214417,0.5,1.05033,56.3193,0,0,2.09478,4.45833,8.07222,2.69121,0
"Glenhurich, Ardnamurchan",173509,766919,ARD-001,NA,NA,1,0,0,0,NA,834,841,848,855,0,0.379084,0,4.04773,0.331417,0.169479,30.2595,0.866915,0,0.117038,0.172461,0,0,0,3.45463,1.9895,0,201.884,0,2,0.742046,148.062,0,0.117038,9.5235,1.71889,9.76556,1.98678,0
"Glenhurich, Ardnamurchan",173557,767947,ARD-002,NA,NA,0,0,0,0,NA,834,841,848,855,0,0,0.0409462,5.25484,0.128223,0.130144,3,0.125311,0,0.29616,0,0,0,0,2.59831,1.1966,0,201.884,0,1,0.410919,27.7,0,0.29616,1.57999,1.71889,9.76556,1.17205,0.0409462
"Glenhurich, Ardnamurchan",176955,768237,ARD-003,0,0,0,0,0,0,826,833,840,847,854,0,0,0.32838,6.49748,0.258087,0.772484,50.695,0.0922338,0.00680304,0.248432,0.144057,0,0,0,5.41014,2.52607,0,250.209,0,2.5,2.10364,221.892,0,0.248432,20.3396,3.06944,8.2775,2.66501,0.32838
"Glenhurich, Ardnamurchan",178313,768345,ARD-004,0,0,0,0,0,0,826,833,840,847,854,0,0,0.0150342,7.92341,0.963793,0,87.1164,0.100637,0,0,0,0,0,0,6.75375,1.02607,0,250.209,0,1,0.812211,202.066,0,0,7.30207,3.06944,8.2775,0.957904,0.0150342
"Glenhurich, Ardnamurchan",179241,769110,ARD-005,NA,NA,0,0,0,0,NA,832,839,846,853,0,0.013521,0,9.07986,0.406024,0.843168,46.8605,0.359914,0,0.501433,0.0790216,0,0,0,7.52007,0.207071,0,250.209,0.314522,0,0.775061,245.106,0.0755115,0.501433,16.5208,3.06944,8.2775,0.0678847,0
"Glenhurich, Ardnamurchan",181633,767174,ARD-006,0,0,0,0,0,0,827,834,841,848,855,0,0,0.0427045,6.36062,0.814808,0.745009,102.175,0.310165,0,0.107218,0.0352693,0,0,0,5.4964,0.0941667,0,230.129,0,0,0.511213,372.047,0.737257,0.107218,22.1241,1.98333,9.40139,2.81987,0.0427045
"Glenhurich, Ardnamurchan",180559,767289,ARD-007,0,0,0,0,0,0,827,834,841,848,855,0,0,0,6.56359,0.873262,0.456407,153.719,0.195,0,0.126738,0,0,0,0,5.42184,0.222873,0,250.209,0,0.5,0.884472,400.077,0.113704,0.126738,28.9208,3.06944,8.2775,2.07111,0
"Glenhurich, Ardnamurchan",176117,767075,ARD-008,NA,NA,0,0,0,0,NA,831,838,845,852,0,0,0.366268,5.30941,0.201069,0.804931,177.71,1.1826,0,0.135279,0.297383,0,0,0,5.01661,3.44028,0,201.884,0,3.32843,2.13329,557.866,0,0.135279,22.6874,1.71889,9.76556,3.57493,0.366268
"Glenhurich, Ardnamurchan",177155,767546,ARD-009,NA,NA,0,0,0,0,NA,831,838,845,852,0,0,0,6.5092,0.107513,0.468587,221.924,0.612696,0.576498,0.0180542,0.297935,0,0,0,6.03485,2.23317,0,250.209,0,2,2.27347,347.58,0,0.0180542,13.7964,3.06944,8.2775,2.37212,0
"Glenhurich, Ardnamurchan",174672,766913,ARD-010,NA,NA,0,0,0,0,NA,834,841,848,855,0,0,0.00265298,4.66905,0.835622,0.152473,116.977,1.15648,0.036374,0,0.125351,0,0,0,4.08838,2.61082,0,201.884,0,2.62132,0.978909,326.837,0,0,15.3244,1.71889,9.76556,2.58626,0.00265298
"Glenhurich, Ardnamurchan",174902,767947,ARD-011,NA,NA,0,0,0,0,NA,834,841,848,855,0.0475649,0,0,5.66905,0.101926,0.482434,5.83513,0.267782,0,0.433845,0.0575482,0.00446651,0,0,3.43014,1.93886,0,201.884,0,1.91421,0.830919,46.0421,0,0.429378,1.62214,1.71889,9.76556,1.77957,0
"Glenhurich, Ardnamurchan",178275,767360,ARD-012,NA,0,0,0,0,0,830,837,844,851,858,0,0,0,7.31477,0.84333,0.24047,159.553,0.492132,2.07E-06,0.029617,0.127051,0,0,0,6.35912,1.45405,0,250.209,0,1.20711,1.27347,334.42,0,0.029617,16.7346,3.06944,8.2775,1.493,0
"Glenhurich, Ardnamurchan",183037,766826,ARD-013,NA,NA,0,0,0,0,NA,835,842,849,856,0,0,0,6.98195,0.11754,0.547225,368.556,1.12062,0,0.633736,0.248725,0,0,0,5.68014,0.045,0,230.129,0,0,1.115,332.814,0.547642,0.633736,12.5028,1.98333,9.40139,3.28555,0
"Glenhurich, Ardnamurchan",182064,768050,ARD-014,NA,NA,0,0,0,0,NA,832,839,846,853,0,0,0,7.56773,0.896652,0.20956,70.5011,0.427487,1.83E-05,0.0408352,0.0624941,0,0,0,6.76279,1.18001,0,230.129,0.273497,1,0.658614,248.115,0,0.0408352,16.7902,1.98333,9.40139,3.01045,0
"Glenhurich, Ardnamurchan",180563,768571,ARD-015,NA,NA,0,0,0,0,NA,832,839,846,853,0,0,0,8.06359,0.540314,0.900377,210.323,0.225,0.124309,0.335377,0,0,0,0,6.95184,1.235,0,250.209,0,1,0.498909,245.645,0,0.335377,16.9682,3.06944,8.2775,1.30335,0
"Glenhurich, Ardnamurchan",175843,768289,ARD-016,0,0,0,0,0,0,826,833,840,847,854,0.0328029,0,0.0237834,6.08327,0,0.20932,33.9363,0.345,0,0.882692,0,0.0272607,0,0,4.42014,2.93886,0,201.884,0,2.91421,2.03803,76.346,0,0.855431,6.13301,1.71889,9.76556,2.77957,0.0237834
"Glenhurich, Ardnamurchan",173660,765809,ARD-017,NA,NA,0,0,0,0,NA,834,841,848,855,0,0,0,2.75484,0.0137515,0.0161246,181.126,0.555,0,0.852003,0.134245,0,0,0,2.26919,2.31596,0,200.856,0,2.12132,1.4676,294.901,0,0.852003,10.3029,1.61167,9.68694,2.3107,0
"Glenhurich, Ardnamurchan",183088,768467,ARD-018,NA,NA,0,0,0,0,NA,835,842,849,856,0,0,0,8.48195,0.5022,0.889094,135.294,0.197767,0,0.385797,0.112004,0,0,0,7.66014,1.88364,0,230.129,0,1.70711,1.34048,331.567,0,0.385797,24.0664,1.98333,9.40139,3.80335,0
"Glenhurich, Ardnamurchan",179543,767173,ARD-019,NA,0,0,0,0,0,829,836,843,850,857,0,0,0,6.9778,0.82258,1.78051,212.019,0.290701,0,0.163569,0.013851,0,0,0,5.49,0.525144,0,250.209,0.384137,0.5,1.1269,313.041,0,0.163569,16.2988,3.06944,8.2775,1.6569,0
"Glenhurich, Ardnamurchan",179831,766185,ARD-020,NA,0,0,0,0,0,829,836,843,850,857,0,0,0,5.9778,0.814651,0.72981,233.535,0.065,0.127475,0,0.0578743,0,0,0,4.5,1.51861,0,244.107,0.502079,1.41421,0.737193,334.357,0,0,7.44735,3.08944,8.27472,2.6569,0
Black Isle,267076,861884,BI-001,0,0,0,0,0,1,517,524,531,538,545,0,0,0,4.46799,0.921862,0.856571,145.466,0.358492,0,0.078138,0,0,0,0,2.77456,1.30158,0,78.758,0,1,8.48572,110.773,0,0.078138,1.54093,3.11,8.51305,1.82607,0
Black Isle,266990,860914,BI-002,1,1,1,0,0,0,516,523,530,537,544,0,0,0,4.61124,1,0,178.003,0.817487,0,0,0,0,0,0,3.43654,1.79998,0,72.2856,0,1.91421,8.15849,119.521,0,0,1.43959,2.61944,8.76722,2.96954,0
Black Isle,267303,860018,BI-003,1,1,0,0,0,0,518,525,532,539,546,0,0,0,5.80409,1,0,202.645,1.52459,0,0,0,0,0,0,3.5947,1.99812,0,72.2856,0,1.91421,8.07271,123.343,0,0,1.82818,2.61944,8.76722,2.01489,0
Black Isle,268145,859524,BI-004,NA,1,0,0,0,0,517,524,531,538,545,0.135694,0,0,5.95538,0.813466,0.179446,144.204,0.758614,0,0.0508403,0,0,0,0,2.89014,0.968514,0,72.2856,0,0.707107,7.77981,134.734,0,0.0508403,4.43465,2.61944,8.76722,1.46932,0
Black Isle,268333,860705,BI-005,NA,1,1,0,0,0,517,524,531,538,545,0,0,0,6.0917,0.962776,0.178179,189.242,1.3669,0.0179968,0,0.0192274,0,0,0,2.41831,1.74186,0,72.2856,0,1.41421,6.8656,94.5153,0,0,0.762217,2.61944,8.76722,2.46932,0
Black Isle,268037,861707,BI-006,NA,0,0,0,0,0,517,524,531,538,545,0,0,0,5.42859,1,0,169.089,0.446468,0,0,0,0,0,0,2.00823,2.24668,0,78.758,0,1.91421,7.27861,132.608,0,0,4.33665,3.11,8.51305,2.74028,0
Black Isle,267807,862748,BI-007,NA,0,0,0,0,1,517,524,531,538,545,0,0,0,4.22148,0.9827,0,121.396,0.0943049,0,0.0173004,0,0.0173004,0,0,2.14456,1.07045,0,78.758,0.0825961,1.20711,7.69283,110.057,0,0,2.85196,3.11,8.51305,1.53317,0
Black Isle,269223,862636,BI-008,NA,1,0,1,0,1,517,524,531,538,545,0,0,0,4.20491,0.922982,0.155697,134.085,0.0291864,0,0.0770182,0,0.0540258,0,0,0.614558,2.10342,0,78.758,0.52863,0.5,6.69283,136.546,0,0.0229924,3.21679,3.11,8.51305,2.35324,0
Black Isle,269057,861563,BI-009,0,0,0,0,0,0,517,524,531,538,545,0,0,0,5.20491,1,0,172.743,0.462197,0,0,0,0,0,0,1.01823,1.91195,0,78.758,0,1.20711,6.27861,111.429,0,0,1.02206,3.11,8.51305,3.15449,0
Black Isle,269084,859833,BI-010,NA,1,0,0,0,0,517,524,531,538,545,0.136392,0,0,5.5443,0.516382,0.63794,152.871,0.19833,0,0.239196,0.108029,0.135921,0,0,2.03647,0.325047,0,72.2856,0.648215,0.5,6.57271,119.769,0.055423,0.103275,3.09452,2.61944,8.76722,2.37867,0
Black Isle,270381,863071,BI-011,NA,1,0,0,0,1,516,523,530,537,544,0.272027,0,0,3.2907,0.704672,0.203886,111.051,0.645,0,0.0233009,0,0.0201555,0,0,0.45,1.4343,0,78.758,0,0.5,5.39993,149.076,0,0.00314542,8.31746,3.11,8.51305,1.35702,0
Black Isle,270274,861796,BI-012,NA,0,0,0,0,0,516,523,530,537,544,0,0,0,4.7907,1,0,188.218,0.695772,0,0,0,0,0,0,0.09,1.37702,0.577331,78.758,0,0,5.48572,96.2752,0,0,2.01948,3.11,8.51305,2.85702,0
Black Isle,269954,860710,BI-013,NA,1,0,1,0,0,517,524,531,538,545,0,0,0,5.25141,0.990048,0.146831,165,0.738897,0,0.00995153,0,0,0,0,1.01823,0.779702,0,72.2856,0,0.5,5.3656,118.937,0,0.00995153,1.81947,2.61944,8.76722,2.17596,0
Black Isle,265681,862062,BI-014,0,0,1,0,0,0,517,524,531,538,545,0.0146749,0,0,3.19491,0.674925,0.33519,165.879,0.984889,0.128423,0.181978,0,0.153239,0,0,2.03647,0.385772,0,78.7369,0,0.5,9.98572,147.62,0,0.0287388,4.83118,3.09056,8.62778,2.25761,0
Black Isle,271214,862281,BI-015,NA,0,0,0,0,0,516,523,530,537,544,0,0,0,3.87648,1,0,188.016,0.884767,0,0,0,0,0,0,0.980955,1.66991,0,78.758,0,1,4.69283,89.5087,0,0,0.845094,3.11,8.51305,2.18719,0
Black Isle,271301,861147,BI-016,NA,0,0,1,0,0,516,523,530,537,544,0,0,0,3.95851,0.569779,0,164.906,0.282249,0,0.430221,0,0.430221,0,0,0.471838,0.669914,0,72.2856,0.503355,0.5,3.65849,124.157,0,0,2.66724,2.61944,8.76722,2.07284,0
Black Isle,266656,862910,BI-017,0,0,0,1,0,0,516,523,530,537,544,0.00262735,0,0,3.30726,0.44096,0,132.743,0.34744,0,0.556413,0,0.529775,0,0,1.65463,0.125355,0,78.758,0,0,9.39993,135.341,0.380402,0.0266378,2.42975,3.11,8.51305,0.971041,0
Black Isle,265761,860811,BI-018,1,1,1,0,0,1,518,525,532,539,546,0,0,0,4.45687,1,0,213.671,0.81033,0,0,0,0,0,0,3.39926,1.49435,0,91.405,0,1.41421,9.65849,163.958,0,0,6.61379,3.22111,8.19306,1.905,0
Black Isle,266130,859577,BI-019,NA,1,1,0,1,0,516,523,530,537,544,0,0,0,5.66398,1,0,205.907,1.70678,0,0,0,0,0,0,4.54477,1.54192,0,91.405,0,1.70711,9.77981,150,0,0,1.47943,3.22111,8.19306,1.95512,0
Black Isle,267218,858990,BI-020,1,0,0,0,1,0,518,525,532,539,546,0.25812,0,0,5.86959,0.739733,0,159.198,1.00313,0,0.00214731,0,0.00214731,0,0,4.03566,1.22587,0,72.2856,0,1,8.98692,165.622,0,0,5.12994,2.61944,8.76722,1.01489,0
Darnaway,298045,855876,DARN-01,0,0,0,0,0,0,1147,1154,1161,1168,1175,0.18347,0,0,6.85108,0.37718,0,52.9931,0.401349,0,0.43935,0,0.414665,0,0,1.08,0.00138889,0,74.4883,0,0,7.07574,63.9618,0.81034,0.0246853,3.97249,3.41833,8.72472,0.912635,0
Darnaway,299427,856854,DARN-02,0,0,0,0,0,0,1147,1154,1161,1168,1175,0.724087,0,0,6.5278,0.147483,0.213972,29.2662,0.0286111,0,0.0196223,0,0,0,0.108808,0.307279,0.0697487,0.182546,62.8972,0.540975,0,5.16153,40.7133,0.168857,0.0196223,2.38871,2.59444,9.49111,1.10899,0.108808
Darnaway,300480,857047,DARN-03,0,0,0,0,0,0,1148,1155,1162,1169,1176,0.0504948,0,0.0156872,6.36209,0.886318,0.387676,44,0.263345,0,0.0474995,0,0,0,0,0.599117,0.424767,0,62.8972,0.366326,0.5,4.16153,39.3047,0,0.0474995,0.604541,2.59444,9.49111,1.73371,0.0156872
Darnaway,297540,854709,DARN-04,0,0,0,0,0,0,1147,1154,1161,1168,1175,0,0,0.0202317,7.27116,0.569792,0.414974,83.5773,0.362266,0,0.409976,0,0.320893,0,0,2.17279,0.125355,0,74.4883,0.199227,0.5,7.29263,63.3569,0.423099,0.0890833,1.97155,3.41833,8.72472,0.335,0.0202317
Darnaway,298567,854835,DARN-05,0,0,0,0,0,0,1147,1154,1161,1168,1175,0.0394772,0,0,8.05185,0.15393,0.156661,67.7555,0.525416,0,0.806593,0,0.75679,0,0,2.14456,0.13327,0,74.4883,0,0,6.98996,60.7658,0,0.0498022,1.29658,3.41833,8.72472,1.32087,0
Darnaway,299813,854504,DARN-06,1,0,0,0,0,1,1150,1157,1164,1171,1178,0.213401,0,0.112291,8.97241,0.124141,0,59.0418,0.055,0,0.550166,0,0.548916,0,0,2.32456,0.913884,0,74.4883,0.756391,0.707107,5.54984,81.5979,0,0.00125025,4.25313,3.41833,8.72472,0.785,0.112291
Darnaway,300397,855865,DARN-07,0,0,0,0,0,0,1148,1155,1162,1169,1176,0,0,0.10745,7.36209,0.414492,0.268001,50.05,0.524117,0,0.459522,0.00317649,0.379569,0,0.0153596,1.55823,1.13041,0,74.4883,0,1.41421,4.57574,51.5251,0,0.0799531,2.51496,3.41833,8.72472,2.45328,0.12281
Darnaway,301169,855142,DARN-08,0,0,0,0,0,0,1148,1155,1162,1169,1176,0.0071465,0,0.00466013,7.94788,0.121805,0.256133,29.1996,0.146229,0.0353974,0.697927,0,0.436091,0,0,0.63,0.931102,0,74.4883,0.504361,0.5,4.82971,63.0181,0,0.261835,0.886412,3.41833,8.72472,2.02726,0.00466013
Darnaway,297320,853172,DARN-09,0,1,0,0,0,0,1146,1153,1160,1167,1174,0.0053255,0,0,8.27701,0.495831,0.018069,109.756,0.161781,0,0.498844,0,0.497911,0,0,3.47912,0.623245,0,74.4883,0.695789,0.5,6.67131,105.762,0,0.000933262,5.10794,3.41833,8.72472,1.25518,0
Darnaway,298403,853901,DARN-10,0,0,0,0,0,0,1146,1153,1160,1167,1174,0,0,0,7.97826,0.734854,0,85.6557,0.130208,0,0.265146,0,0.265146,0,0,2.89919,0.471838,0,74.4883,0.895968,0.5,6.84273,77.7313,0,0,2.48115,3.41833,8.72472,0.506066,0
Darnaway,299760,853420,DARN-11,0,1,0,1,0,0,1150,1157,1164,1171,1178,0.0294746,0,0.0968121,9.68537,0.708437,0,73.4184,0.33601,0,0.165277,0,0.165277,0,0,2.01463,0.34626,0,74.4883,0.344278,0.5,5.63562,95.7419,0.00192235,0,2.77112,3.41833,8.72472,0.085,0.0968121
Darnaway,300961,853995,DARN-12,0,0,0,0,0,0,1148,1155,1162,1169,1176,0,0,0,9.15498,0.990422,0.258428,74.1343,0.31364,0.00535424,0.0042241,0,0,0,0,1.34095,1.44648,0,74.4883,0.190079,1,4.34273,81.8716,0,0.0042241,11.2347,3.41833,8.72472,1.11305,0
Darnaway,297371,851819,DARN-13,0,0,0,0,0,0,1146,1153,1160,1167,1174,0,0,0.136461,9.27701,0.674041,0.982029,180.51,0.513762,0,0.189499,0,0,0,0,3.43654,1.22388,0,74.4883,0,1.20711,6.25709,135.88,0,0.189499,1.06064,3.41833,8.72472,1.8517,0.136461
Darnaway,298619,852306,DARN-14,1,0,0,0,0,0,1146,1153,1160,1167,1174,0,0,0,9.89834,0.894307,0.838187,151.344,0.045,0.03264,0.0486928,0.0243598,0,0,0,2.43,0.610919,0,74.4883,0.903663,1,6.22141,111.253,0,0.0486928,4.26565,3.41833,8.72472,1.51673,0
Darnaway,299810,851694,DARN-15,0,0,0,0,0,0,1146,1153,1160,1167,1174,0,0,0,10.8125,0.750679,2.08468,133.474,0.208445,0.0089006,0.240421,0,0,0,0,1.38728,0.248298,0,74.4883,0.869302,0.5,4.30719,145.14,0.203429,0.240421,12.0812,3.41833,8.72472,1.59142,0
Darnaway,301338,853011,DARN-16,0,1,0,1,1,0,1146,1153,1160,1167,1174,0,0,0.238938,9.94788,0.553536,0.237545,61.4265,0.131731,0,0.0418265,0,0.000519181,0,0,0.344558,1.12045,0,74.4883,0.66942,0.5,3.42851,102.026,0,0.0413073,8.28295,3.41833,8.72472,1.65749,0.238938
Darnaway,297444,850495,DARN-17,0,0,0,0,0,0,1146,1153,1160,1167,1174,0,0,0,10.7552,0.993891,0.1682,190.473,0.213999,0.00610941,0,0,0,0,0,2.67286,1.43974,0,73.5564,0,1.41421,5.63577,120.357,0,0,2.22689,3.77611,8.66778,2.82574,0
Darnaway,298753,850995,DARN-18,0,0,0,0,0,0,1146,1153,1160,1167,1174,0,0,0,10.8983,1,0,179.497,0.0525,0,0,0,0,0,0,2.03647,0.606777,0,73.5564,0.967506,0.5,5.76991,115.494,0,0,0.944503,3.77611,8.66778,2.38607,0
Darnaway,298654,849524,DARN-19,0,0,0,0,0,0,1146,1153,1160,1167,1174,0,0,0.00292438,12.3983,0.870572,0.0578828,165.295,0.675,0,0.126504,0,0.124107,0,0,0.980955,0.326487,0,73.5564,0,0,6.39123,170.585,0.00628747,0.00239631,6.19526,3.77611,8.66778,1.21305,0.00292438
Darnaway,299933,850367,DARN-20,0,0,0,0,0,0,1146,1153,1160,1167,1174,0,0,0,11.8126,0.89086,0.414067,142.223,0.424537,0,0.10914,0,0.0734729,0,0,0.980955,0.445,0,73.5564,0,0.5,4.47702,168.979,0,0.0356668,4.50798,3.77611,8.66778,1.38192,0
Dundreggan,230889,815773,DUN-01,1,1,1,1,0,0,1056,1063,1070,1077,1084,0,0.00183836,0,39.0598,0,0,293.864,0.005,0,0.899683,0.0984782,0,0,0,1.76912,2.515,0,175.842,0.59525,1.70711,1.61027,326.356,0,0.899683,7.14914,3.61444,8.49139,1.78685,0
Dundreggan,231851,816334,DUN-02,0,0,0,0,0,0,1056,1063,1070,1077,1084,0,0.0348855,0,39.6456,0,0,414.267,1.16492,0,0.965115,0,0,0,0,2.37728,2.76778,0,160.207,0,1.70711,1.26619,347.221,0,0.965115,15.5398,5.46778,6.81889,2.24962,0
Dundreggan,232990,816977,DUN-03,0,0,1,1,0,0,1057,1064,1071,1078,1085,0,0,0,39.5153,0,0,362.599,0.353345,0,0.965535,0.0344649,0,0,0,2.59456,4.02459,0,160.207,0.438561,2.5,1.10477,287.708,0,0.965535,8.12946,5.46778,6.81889,2.82004,0
Dundreggan,234333,817604,DUN-04,0,0,0,0,0,0,1057,1064,1071,1078,1085,0,0.653527,0,38.394,0,0,398.923,0.585833,0,0.237464,0,0,0,0,2.24735,5.14591,0,160.207,0,2.20711,0.065,320.732,0,0.237464,8.25288,5.46778,6.81889,3.94136,0
Dundreggan,235020,818327,DUN-05,NA,0,0,1,0,0,1054,1061,1068,1075,1082,0,0.0662107,0,36.9798,0.218857,1.18132,383.432,0.549528,0,0.613043,0.0715416,0,0,0,2.28728,5.86472,0,160.207,0.236376,2.5,0.73454,315.661,0,0.613043,10.2617,5.46778,6.81889,5.07016,0
Dundreggan,236091,818109,DUN-06,NA,0,0,0,0,0,1054,1061,1068,1075,1082,0,0,0,37.0656,0.292125,1.07468,310.509,0.494013,0,0.650154,0.0449017,0,0,0,2.03007,4.86472,0,160.207,0,2.12132,0.100637,260.129,0,0.650154,8.04905,5.46778,6.81889,3.86305,0
Dundreggan,230656,814774,DUN-07,0,0,0,0,0,0,1056,1063,1070,1077,1084,0,0,0,39.474,0,0,297.825,0.65163,0,0.394696,0.605304,0,0,0,0.779117,1.515,0,175.842,0,0.707107,2.02447,302.661,0,0.394696,3.72504,3.61444,8.49139,1.37263,0
